()

------ PROCESSES AND THREADS (ps -A -T -Z -O pri,nice,rtprio,sched,pcy,time) ------
LABEL                          USER           PID   TID  PPID     VSZ    RSS WCHAN            ADDR S PRI  NI RTPRIO SCH PCY     TIME CMD            
u:r:init:s0                    root             1     1     0   46888   1632 0                   0 S  19   0      -   0  fg 00:00:09 init
u:r:kernel:s0                  root             2     2     0       0      0 0                   0 S  19   0      -   0  fg 00:00:00 kthreadd
u:r:kernel:s0                  root             3     3     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 ksoftirqd/0
u:r:kernel:s0                  root             7     7     2       0      0 0                   0 S  19   0      -   0  fg 00:00:29 rcu_preempt
u:r:kernel:s0                  root             8     8     2       0      0 0                   0 S  19   0      -   0  fg 00:00:02 rcu_sched
u:r:kernel:s0                  root             9     9     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 rcu_bh
u:r:kernel:s0                  root            10    10     2       0      0 0                   0 S 139   0     99   1  fg 00:00:02 migration/0
u:r:kernel:s0                  root            11    11     2       0      0 0                   0 S 139   0     99   1  fg 00:00:00 watchdog/0
u:r:kernel:s0                  root            12    12     2       0      0 0                   0 S 139   0     99   1  fg 00:00:00 watchdog/1
u:r:kernel:s0                  root            13    13     2       0      0 0                   0 S 139   0     99   1  fg 00:00:01 migration/1
u:r:kernel:s0                  root            14    14     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 ksoftirqd/1
u:r:kernel:s0                  root            17    17     2       0      0 0                   0 S 139   0     99   1  fg 00:00:00 watchdog/2
u:r:kernel:s0                  root            18    18     2       0      0 0                   0 S 139   0     99   1  fg 00:00:01 migration/2
u:r:kernel:s0                  root            19    19     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 ksoftirqd/2
u:r:kernel:s0                  root            22    22     2       0      0 0                   0 S 139   0     99   1  fg 00:00:00 watchdog/3
u:r:kernel:s0                  root            23    23     2       0      0 0                   0 S 139   0     99   1  fg 00:00:01 migration/3
u:r:kernel:s0                  root            24    24     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 ksoftirqd/3
u:r:kernel:s0                  root            25    25     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 kworker/3:0
u:r:kernel:s0                  root            27    27     2       0      0 0                   0 S 139   0     99   1  fg 00:00:00 watchdog/4
u:r:kernel:s0                  root            28    28     2       0      0 0                   0 S 139   0     99   1  fg 00:00:00 migration/4
u:r:kernel:s0                  root            29    29     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 ksoftirqd/4
u:r:kernel:s0                  root            32    32     2       0      0 0                   0 S 139   0     99   1  fg 00:00:00 watchdog/5
u:r:kernel:s0                  root            33    33     2       0      0 0                   0 S 139   0     99   1  fg 00:00:00 migration/5
u:r:kernel:s0                  root            34    34     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 ksoftirqd/5
u:r:kernel:s0                  root            37    37     2       0      0 0                   0 S 139   0     99   1  fg 00:00:00 watchdog/6
u:r:kernel:s0                  root            38    38     2       0      0 0                   0 S 139   0     99   1  fg 00:00:00 migration/6
u:r:kernel:s0                  root            39    39     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 ksoftirqd/6
u:r:kernel:s0                  root            42    42     2       0      0 0                   0 S 139   0     99   1  fg 00:00:00 watchdog/7
u:r:kernel:s0                  root            43    43     2       0      0 0                   0 S 139   0     99   1  fg 00:00:00 migration/7
u:r:kernel:s0                  root            44    44     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 ksoftirqd/7
u:r:kernel:s0                  root            47    47     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 kdevtmpfs
u:r:kernel:s0                  root            48    48     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 netns
u:r:kernel:s0                  root            50    50     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 perf
u:r:kernel:s0                  root            81    81     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 exynos_cpu_hotp
u:r:kernel:s0                  root           238   238     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/112-1644000
u:r:kernel:s0                  root           239   239     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 acpm_debug_logg
u:r:kernel:s0                  root           691   691     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 khungtaskd
u:r:kernel:s0                  root           692   692     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 writeback
u:r:kernel:s0                  root           694   694     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 kcompactd0
u:r:kernel:s0                  root           695   695     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 crypto
u:r:kernel:s0                  root           696   696     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root           698   698     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 kblockd
